trade_id,date,symbol,signal,confidence,entry_price,exit_price,pnl,pnl_pct,holding_period,reason
ec112cb5,2025-10-13,INDUSINDBK,SELL,52,738.1,758.6712036132812,555.4224975585931,2.787048315036069,5,TIME_EXCEEDED
d7df07ae,2025-10-14,ADANIENT,SELL,50,2541.06,2490.24,-355.74000000000115,-1.9999527756133333,5,STOP_LOSS
efd2d055,2025-10-14,INDUSINDBK,SELL,51,758.67,743.5,-394.41999999999894,-1.9995518473117375,1,STOP_LOSS
f7eb2d84,2025-10-15,INDUSINDBK,SELL,56,749.19,734.2,-389.74000000000024,-2.0008275604319343,1,STOP_LOSS
935c588f,2025-10-20,INDUSINDBK,SELL,57,738.9,768.46,798.1200000000016,4.000541345242937,3,TARGET_HIT
417c1c28,2025-10-21,ADANIENT,SELL,52,2515.88,2548.76025390625,230.16177734374924,1.306908672363145,5,TIME_EXCEEDED
cbcb8b42,2025-10-24,ADANIENT,SELL,55,2548.76,2497.79,-356.7900000000018,-1.999795979221278,2,STOP_LOSS
307e53a9,2025-10-24,ADANIPORTS,SELL,51,1467.32,1437.97,-381.5499999999988,-2.0002453452552893,2,STOP_LOSS
849d3a96,2025-10-28,INDUSINDBK,SELL,56,758.52,788.86,788.8400000000008,3.9998945314559977,5,TARGET_HIT
6a35e5c6,2025-10-29,POWERGRID,SELL,49,280.67,287.23907470703125,466.4043041992176,2.3404976331746297,5,TIME_EXCEEDED
1a1444f7,2025-11-07,TRENT,SELL,54,4706.45,4612.32,-376.52000000000044,-2.0000212474370302,3,STOP_LOSS
a90c51cd,2025-11-10,TRENT,SELL,56,4620.47,4528.06,-369.6399999999994,-2.0000129856919284,1,STOP_LOSS
4b13d64f,2025-11-17,TRENT,SELL,62,4277.38,4398.10107421875,482.88429687499956,2.8223135241374364,5,TIME_EXCEEDED
e63b4051,2025-11-24,TRENT,SELL,53,4398.1,4310.14,-351.84000000000015,-1.9999545258179676,5,STOP_LOSS
7bf04a81,2025-12-01,TRENT,SELL,53,4304.54,4218.45,-344.3600000000006,-1.9999814149711734,5,STOP_LOSS
f73f1f41,2025-12-02,BAJAJ-AUTO,SELL,49,8922.43,8959.4111328125,73.96226562499942,0.4144737791442433,5,TIME_EXCEEDED
b18234e0,2025-12-08,TRENT,SELL,58,4220.26,4135.86,-337.6000000000022,-1.9998767848426529,4,STOP_LOSS
8f481464,2025-12-10,ULTRACEMCO,SELL,49,11597.0,11365.06,-231.9400000000005,-2.0000000000000044,3,STOP_LOSS
