trade_id,date,symbol,signal,entry_price,exit_price,pnl,pnl_percent,holding_days,status,confidence
34a96b40,2025-10-07,DIVISLAB,SELL,5826.5,6059.56,699.1800000000012,4.000000000000007,1,TARGET_HIT,35
bff760cd,2025-10-09,HCLTECH,SELL,1370.12,1424.93,767.3400000000024,4.00037952880041,3,TARGET_HIT,39
0952de69,2025-10-10,DIVISLAB,SELL,6104.5,6348.68,732.5400000000009,4.000000000000005,3,TARGET_HIT,33
ecc1ea79,2025-10-13,INFY,SELL,1422.95,1439.5347900390625,232.18706054687436,1.1655216303497984,5,TIME_EXIT,40
fe765b96,2025-10-13,TCS,SELL,2885.02,2903.169677734375,108.89806640625012,0.6291005862827647,5,TIME_EXIT,36
0671e964,2025-10-13,BPCL,SELL,327.36,320.81,-399.5500000000007,-2.000855327468234,5,STOP_LOSS,32
443a941a,2025-10-14,ADANIENT,SELL,2541.26,2490.44,-355.74000000000115,-1.9997953770964072,3,STOP_LOSS,63
0e88e44f,2025-10-16,NESTLEIND,SELL,1181.72,1228.99,756.3199999999997,4.00010154689774,3,TARGET_HIT,29
6735de3b,2025-10-17,DIVISLAB,SELL,6474.5,6621.5,441.0,2.270445594254382,5,TIME_EXIT,33
deae996f,2025-10-17,ASIANPAINT,SELL,2318.73,2411.48,742.0,4.000034501645297,4,TARGET_HIT,33
6756bb7d,2025-10-17,INFY,SELL,1436.35,1407.63,-373.3599999999974,-1.999512653601128,3,STOP_LOSS,33
d675a635,2025-10-20,TCS,SELL,2903.17,2921.749267578125,111.47560546874956,0.6399648514597811,5,TIME_EXIT,31
bf1df696,2025-10-23,ULTRACEMCO,SELL,12370.0,12122.6,-247.39999999999964,-1.999999999999997,3,STOP_LOSS,38
51d224a5,2025-10-23,INFY,SELL,1389.31,1444.88,777.9800000000023,3.999827252377091,3,TARGET_HIT,35
0503c077,2025-10-24,JIOFIN,SELL,312.1,305.86,-399.3600000000006,-1.9993591797500827,5,STOP_LOSS,33
1476ead5,2025-10-24,HINDUNILVR,SELL,2557.38,2506.23,-358.05000000000064,-2.0000938460455657,4,STOP_LOSS,36
94878acb,2025-10-27,ADANIENT,SELL,2546.96,2496.02,-356.5800000000004,-2.0000314099946626,4,STOP_LOSS,44
ee243de9,2025-10-28,BPCL,SELL,314.83,327.43,793.8000000000014,4.002159895816797,2,TARGET_HIT,31
e11d4ad0,2025-10-30,TRENT,SELL,4776.24,4737.49951171875,-154.96195312499913,-0.8111084928992216,5,TIME_EXIT,37
ce7b53de,2025-10-30,ICICIBANK,SELL,1363.7,1362.4000244140625,-18.199658203125637,-0.095327094371016,5,TIME_EXIT,36
a7486199,2025-10-31,JIOFIN,SELL,305.95,306.79998779296875,55.24920654296949,0.2778191838433604,5,TIME_EXIT,30
fe1b41ef,2025-10-31,KOTAKBANK,SELL,432.16,423.52,-397.440000000002,-1.999259533506119,3,STOP_LOSS,36
ec186b22,2025-11-03,BEL,SELL,424.29,415.81,-398.56000000000085,-1.998633010440976,1,STOP_LOSS,38
12a69332,2025-11-04,INDUSINDBK,SELL,798.46,788.9221801757812,-238.4454956054697,-1.1945269423914515,5,TIME_EXIT,37
980812ce,2025-11-04,TRENT,SELL,4737.5,4642.75,-379.0,-2.0,3,STOP_LOSS,46
80a2eabd,2025-11-04,ADANIENT,SELL,2479.89,2430.29,-396.7999999999993,-2.0000887136122936,2,STOP_LOSS,35
358beb41,2025-11-06,ASIANPAINT,SELL,2486.71,2586.18,795.7599999999984,4.000064342042289,2,TARGET_HIT,35
368fd212,2025-11-06,ADANIENT,SELL,2418.72,2370.34,-387.0399999999973,-2.0002315274194475,1,STOP_LOSS,35
2a4e8c1b,2025-11-07,JIOFIN,SELL,301.9,295.86,-398.6399999999976,-2.0006624710168808,2,STOP_LOSS,34
