date,portfolio_value,daily_return,cumulative_return,drawdown
2025-10-06,100000.0,0.0,0.0,0.0
2025-10-07,99865.18,-0.1348,-0.1348,-0.1348
2025-10-08,99865.18,0.0,-0.1348,-0.1348
2025-10-09,99701.58,-0.1638,-0.2984,-0.2984
2025-10-10,99324.12,-0.3786,-0.6759,-0.6759
2025-10-13,99252.82,-0.0718,-0.7472,-0.7472
2025-10-14,99074.78,-0.1794,-0.9252,-0.9252
2025-10-15,99074.78,0.0,-0.9252,-0.9252
2025-10-16,98422.71,-0.6582,-1.5773,-1.5773
2025-10-17,98093.9,-0.3341,-1.9061,-1.9061
2025-10-20,98093.9,0.0,-1.9061,-1.9061
2025-10-21,98093.9,0.0,-1.9061,-1.9061
2025-10-23,97669.89,-0.4322,-2.3301,-2.3301
2025-10-24,97906.31,0.2421,-2.0937,-2.0937
2025-10-27,97936.65,0.031,-2.0634,-2.0634
2025-10-28,98118.01,0.1852,-1.882,-1.882
2025-10-29,98118.01,0.0,-1.882,-1.882
2025-10-30,98118.01,0.0,-1.882,-1.882
2025-10-31,98259.69,0.1444,-1.7403,-1.7403
2025-11-03,98038.8,-0.2248,-1.9612,-1.9612
2025-11-04,98087.48,0.0497,-1.9125,-1.9125
2025-11-06,98621.59,0.5445,-1.3784,-1.3784
2025-11-07,98394.55,-0.2302,-1.6054,-1.6054
2025-11-10,99527.63,1.1516,-0.4724,-0.4724
2025-11-11,99527.63,0.0,-0.4724,-0.4724
2025-11-12,99105.65,-0.424,-0.8943,-0.8943
2025-11-13,99105.65,0.0,-0.8944,-0.8943
2025-11-14,98976.98,-0.1298,-1.023,-1.023
2025-11-17,98906.87,-0.0708,-1.0931,-1.0931
2025-11-18,98906.87,0.0,-1.0931,-1.0931
2025-11-19,98906.87,0.0,-1.0931,-1.0931
2025-11-20,98906.87,0.0,-1.0931,-1.0931
2025-11-21,99102.8,0.1981,-0.8972,-0.8972
2025-11-24,99063.76,-0.0394,-0.9362,-0.9362
2025-11-25,99475.86,0.416,-0.5241,-0.5241
2025-11-26,99475.86,0.0,-0.5241,-0.5241
2025-11-27,99919.97,0.4464,-0.08,-0.08
2025-11-28,99983.87,0.064,-0.0161,-0.0161
2025-12-01,99983.87,0.0,-0.0161,-0.0161
2025-12-02,99983.87,0.0,-0.0161,-0.0161
2025-12-03,99853.46,-0.1304,-0.1465,-0.1465
2025-12-04,99853.46,0.0,-0.1465,-0.1465
2025-12-05,100332.08,0.4793,0.3321,0.0
2025-12-08,100496.18,0.1636,0.4962,0.0
2025-12-09,100496.18,0.0,0.4962,0.0
2025-12-10,100544.24,0.0478,0.5442,0.0
2025-12-11,100544.24,0.0,0.5442,0.0
2025-12-12,100791.54,0.246,0.7915,0.0
2025-12-15,100853.11,0.0611,0.8531,0.0
2025-12-16,100853.11,0.0,0.8531,0.0
2025-12-17,100853.11,0.0,0.8531,0.0
2025-12-18,100715.09,-0.1368,0.7151,-0.1368
2025-12-19,100715.09,0.0,0.7151,-0.1369
