date,win_rate,sharpe_ratio,sortino_ratio,profit_factor,max_drawdown,avg_gain,avg_loss,total_return,num_trades,open_trades,closed_trades
2025-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
2025-10-07,20.0,-15.8745,0.0,0.1088,-0.23,0.6,-1.39,-0.23,5,5,5
2025-10-08,40.0,-4.0987,0.0,0.5526,-0.23,1.12,-1.35,-0.11,10,5,10
2025-10-09,53.33,-9.632,-49.668,0.9695,-0.41,1.02,-1.2,-0.41,15,5,15
2025-10-10,55.0,-10.9581,-11.4459,1.2716,-1.64,1.02,-0.98,-1.64,20,5,20
2025-10-13,52.0,-10.4016,-10.2859,0.9352,-1.74,0.98,-1.14,-1.74,25,5,25
2025-10-14,43.33,-10.9476,-10.943,0.6466,-1.97,0.98,-1.16,-1.97,30,5,30
2025-10-15,51.43,-10.2874,-10.0844,0.8469,-2.02,0.93,-1.16,-2.02,35,5,35
2025-10-16,50.0,-10.8722,-10.7924,0.9109,-2.26,0.91,-1.0,-2.26,40,5,40
2025-10-17,44.44,-8.2326,-8.5205,0.6672,-2.26,0.91,-1.09,-1.99,45,5,45
2025-10-20,46.0,-7.851,-7.9974,0.8152,-2.26,0.98,-1.03,-2.01,50,4,50
2025-10-21,42.59,-8.2636,-8.5122,0.7769,-2.26,0.98,-0.94,-2.21,54,4,54
2025-10-23,43.1,-8.0505,-8.241,0.8426,-2.26,1.01,-0.91,-2.25,58,5,58
2025-10-24,39.68,-8.9004,-9.2714,0.7048,-2.6,1.01,-0.94,-2.6,63,4,63
2025-10-27,40.3,-9.0897,-9.4993,0.7681,-2.75,1.04,-0.92,-2.75,67,4,67
2025-10-28,42.25,-10.1654,-10.7742,0.7772,-3.3,1.01,-0.96,-3.3,71,4,71
2025-10-29,45.33,-11.1538,-11.9679,0.9083,-3.86,1.05,-0.96,-3.86,75,4,75
2025-10-30,43.04,-11.3975,-12.2557,0.8258,-4.06,1.05,-0.96,-4.06,79,4,79
2025-10-31,42.17,-11.6355,-12.5358,0.7651,-4.25,1.03,-0.98,-4.25,83,4,83
2025-11-03,41.38,-11.9224,-12.8805,0.7736,-4.46,1.04,-0.95,-4.46,87,4,87
2025-11-04,39.56,-12.1326,-13.1239,0.6843,-4.65,1.04,-1.0,-4.65,91,5,91
2025-11-06,38.54,-12.4714,-13.5362,0.6397,-4.89,1.02,-1.0,-4.89,96,4,96
2025-11-07,37.0,-12.7231,-13.8344,0.5867,-5.09,1.02,-1.02,-5.09,100,5,100
2025-11-10,37.14,-8.4282,-11.2007,0.5664,-5.09,0.99,-1.03,-4.33,105,4,105
2025-11-11,38.53,-8.6313,-11.4902,0.5756,-5.09,0.94,-1.03,-4.52,109,4,109
2025-11-12,39.82,-9.3179,-12.3257,0.617,-5.12,0.97,-1.04,-5.12,113,4,113
2025-11-13,39.32,-8.7543,-11.5638,0.6169,-5.12,0.98,-1.03,-4.99,117,4,117
2025-11-14,39.67,-9.1417,-12.1584,0.6048,-5.32,0.97,-1.06,-5.32,121,4,121
2025-11-17,39.2,-9.3277,-12.4231,0.5916,-5.52,0.96,-1.05,-5.52,125,4,125
2025-11-18,37.98,-9.5354,-12.7276,0.546,-5.73,0.96,-1.08,-5.73,129,4,129
2025-11-19,36.84,-9.7054,-12.9662,0.5326,-5.92,0.96,-1.06,-5.92,133,4,133
2025-11-20,36.5,-9.8727,-13.2011,0.5177,-6.11,0.96,-1.06,-6.11,137,4,137
2025-11-21,35.46,-9.5527,-12.6954,0.4786,-6.11,0.96,-1.1,-6.07,141,4,141
2025-11-24,34.48,-9.7164,-12.9289,0.4505,-6.26,0.96,-1.12,-6.26,145,4,145
2025-11-25,34.23,-9.723,-12.8666,0.4522,-6.35,0.97,-1.11,-6.35,149,4,149
2025-11-26,35.95,-10.0762,-13.4003,0.4812,-6.7,0.95,-1.11,-6.7,153,4,153
2025-11-27,35.03,-10.2426,-13.6409,0.4613,-6.9,0.95,-1.11,-6.9,157,4,157
2025-11-28,34.78,-9.4697,-12.8071,0.4438,-6.9,0.94,-1.13,-6.66,161,4,161
2025-12-01,35.76,-9.4185,-12.6269,0.4526,-6.9,0.93,-1.14,-6.72,165,4,165
2025-12-02,35.5,-9.3038,-12.3286,0.4594,-6.9,0.94,-1.12,-6.74,169,4,169
2025-12-03,34.68,-9.2377,-12.1426,0.4323,-6.9,0.94,-1.15,-6.79,173,4,173
2025-12-04,35.03,-9.292,-12.1914,0.448,-6.91,0.94,-1.13,-6.91,177,4,177
2025-12-05,34.81,-9.4449,-12.4153,0.4388,-7.1,0.93,-1.13,-7.1,181,4,181
2025-12-08,34.05,-7.7767,-11.0353,0.4115,-7.1,0.93,-1.17,-6.48,185,4,185
2025-12-09,34.92,-8.1659,-11.5527,0.4139,-7.1,0.91,-1.18,-6.98,189,4,189
2025-12-10,34.2,-8.2962,-11.7548,0.3986,-7.16,0.91,-1.19,-7.16,193,4,193
2025-12-11,34.52,-8.7044,-11.9886,0.4011,-7.9,0.91,-1.19,-7.9,197,4,197
2025-12-12,35.32,-9.0358,-12.4578,0.4102,-8.35,0.89,-1.19,-8.35,201,4,201
2025-12-15,35.61,-9.154,-12.6332,0.4084,-8.54,0.87,-1.18,-8.54,205,4,205
2025-12-16,34.93,-9.3184,-12.8918,0.3944,-8.78,0.87,-1.19,-8.78,209,4,209
2025-12-17,34.27,-9.4338,-13.0631,0.3866,-8.97,0.87,-1.18,-8.97,213,4,213
2025-12-18,33.64,-9.6823,-13.4476,0.3768,-9.31,0.87,-1.17,-9.31,217,4,217
2025-12-19,33.48,-9.8825,-13.766,0.3835,-9.59,0.88,-1.16,-9.59,221,4,221
2025-12-22,34.22,-10.1563,-14.171,0.4068,-9.99,0.9,-1.15,-9.99,225,4,225
2025-12-23,34.06,-10.2624,-14.3258,0.4038,-10.18,0.89,-1.14,-10.18,229,4,229
2025-12-24,33.91,-10.4276,-14.5886,0.4032,-10.43,0.9,-1.15,-10.43,233,4,233
2025-12-26,33.33,-10.541,-14.7583,0.3944,-10.62,0.9,-1.14,-10.62,237,4,237
2025-12-29,32.78,-10.6408,-14.9022,0.382,-10.81,0.9,-1.15,-10.81,241,4,241
2025-12-30,33.06,-10.7562,-15.0767,0.3872,-11.0,0.9,-1.14,-11.0,245,4,245
2025-12-31,33.73,-10.8779,-15.2632,0.4059,-11.21,0.91,-1.14,-11.21,249,4,249
